iata_code,icao_code,airport_name,city,country_code,latitude,longitude,elevation
CEX,,Chena Hot Springs Airport,Chena Hot Springs,US,65.0518035889,-146.04699707,1195
SOL,,Solomon State Field,Solomon,US,64.5605,-164.4457,25
HED,,Herendeen Bay Airport,Herendeen Bay,US,55.802346,-160.901346,20
TWE,,Taylor Airport,Taylor,US,65.6792984009,-164.798995972,440
KTH,,Tikchik Lodge Seaplane Base,Tikchik,US,59.9631996155,-158.477005005,304
NKI,,Naukati Bay Seaplane Base,Tuxekan Island,US,55.849602,-133.227994,
CDL,,Candle 2 Airport,Candle,US,65.907699585,-161.925994873,15
AOS,,Amook Bay Seaplane Base,Amook Bay,US,57.4715003967,-153.815002441,
BSW,,Boswell Bay Airport,Boswell Bay,US,60.4230995178,-146.145996094,230
AKM,,Zakuoma Airport,ZaKouma,TD,10.8902777778,19.8172222222,1370
ALZ,,Alitak Seaplane Base,Lazy Bay,US,56.897294,-154.249692,
YUK,UDCK,Syunik Airport,Kapan,AM,39.202272,46.455204,2308
AME,,Alto Molocue Airport,Alto Molocue,MZ,-15.6102777778,37.6813888889,1950
AMY,FMMB,Ambatomainty Airport,,MG,-17.686667,45.623889,1025
INU,ANYN,Nauru International Airport,Yaren District,NR,-0.547458,166.919006,22
ANZ,,Angus Downs Airport,Angus Downs Station,AU,-25.0325,132.2748,1724
CTV,,Catoca Airport,Saurimo,AO,-9.431359,20.311557,3498
ANL,,Andulo Airport,Andulo,AO,-11.4723,16.710899,
,FNLM,Lumbala Airstrip,Lumbala,AO,-12.638947,22.589028,3510
,FNNL,Huambo Airport,Huambo,AO,-12.786306,15.774528,5443
CNZ,,Cangamba Airport,Cangamba,AO,-13.7106,19.861099,3894
DRC,,Dirico Airport,Dirico,AO,-17.981924,20.768061,3504
NDF,,N'dalatando Airport,N'dalatando,AO,-9.280378,14.982432,2684
AOB,,Annanberg Airport,,PG,-4.90416666667,144.635833333,130
AOD,,Abou-Deïa Airport,Abou-Deïa,TD,11.4773,19.2874,1592
APP,,Asapa Airport,,PG,-8.979167,148.103611,1930
AQY,,Girdwood-Alyeska Airport,Girdwood,US,60.968774,-149.119792,150
QRF,,Bragado Airport,Bragado,AR,-35.145811,-60.480294,196
CVI,,Caleta Olivia Airport,Caleta Olivia,AR,-46.37428,-67.59409,37
CNT,,Charata Airport,Charata,AR,-27.2164,-61.2103,318
VGS,,General Villegas Airport,General Villegas,AR,-34.995728,-62.999725,383
LMD,,Los Menucos Airport,Los Menucos,AR,-40.817699,-68.074699,2571
VCF,,Valcheta Airport,Valcheta,AR,-40.700001,-66.150002,629
CPG,,Carmen de Patagones Airport,Carmen de Patagones,AR,-40.7781,-62.9803,131
ARP,,Aragip Airport,,PG,-9.88333333333,149.483333333,1750
ASZ,,Asirim Airport,,PG,-6.009722222220001,150.368611111,1050
,LOAL,Pöchlarn-Wörth Heliport,Pöchlarn-Wörth,AT,48.214386,15.255579,709
,LOAE,Eisenstadt Heliport,Eisenstadt,AT,47.84677,16.51345,748
,LOAF,Baden Hospital Helipad,Baden,AT,48.000612,16.255796,733
,LOAH,Horn Heliport,Horn,AT,48.669249,15.660705,1012
,LOAK,Krems University Hospital Helipad,Krems,AT,48.412753,15.615224,647
,LOAM,Wien-Meidling Heliport,Vienna,AT,48.173743,16.322633,737
LYT,YLTT,Lady Elliot Island Airstrip,Lady Elliot Island,AU,-24.1129,152.7156,20
GYZ,,Gruyere Airport,Cosmo Newbery,AU,-28.034548,123.81506,1542
,YPAS,Packsaddle Airport,Packsaddle,AU,-30.29424,142.13758,342
,YMRO,Moora Airport,Moora,AU,-30.684896,115.982059,659
,YOKH,Oakden Hills Airport,Oakden Hills,AU,-31.66598,137.0361,308
,YWIR,Wirraminna Airport,Wirraminna,AU,-31.19277,136.21988,446
,YJBO,JDandBoo,Boisdale,AU,-37.85774,146.91748,380
,YWSN,Woodstock Station,,AU,-19.358723,142.756948,
AGW,,Agnew Airport,Agnew,AU,-12.1456,142.149369,160
AYD,,Alroy Downs Airport,Alroy Downs,AU,-19.2908,136.078995,711
BYX,,Baniyala Airport,Baniyala,AU,-13.1981,136.227005,20
COB,,Coolibah Airport,Coolibah,AU,-15.548299789428711,130.96200561523438,
CRJ,,Coorabie Airport,Coorabie,AU,-31.894399642944336,132.29600524902344,
CRY,,Carlton Hill Airport,Carlton Hill,AU,-15.501899719238281,128.53399658203125,
CSD,,Cresswell Downs Airport,Cresswell Downs,AU,-17.947999954223633,135.91600036621094,
DYM,,Diamantina Lakes Airport,Diamantina Lakes,AU,-23.761699676513672,141.14500427246094,
HIS,,Hayman Island Resort Seaplane Base,Hayman Island,AU,-20.059999465942383,148.88099670410156,
HLV,,Helenvale Airport,Helenvale,AU,-15.685799598693848,145.21499633789062,
KBD,,Kimberley Downs Airport,Kimberley Downs,AU,-17.39780044555664,124.3550033569336,
KGR,,Kulgera Airport,Ghan,AU,-25.8428,133.292007,
PEP,,Peppimenarti Airport,Peppimenarti,AU,-14.1442,130.091003,83
RDA,,Rockhampton Downs Airport,Rockhampton Downs,AU,-18.95330047607422,135.2010040283203,
SSK,,Sturt Creek Airport,Sturt Creek,AU,-19.166400909423828,128.1739959716797,
SWB,,Shaw River Airport,Shaw River,AU,-21.510299682617188,119.36199951171875,
TWP,,Torwood Airport,Torwood,AU,-17.363300323486328,143.75,
ZVG,,Springvale Airport,Springvale,AU,-17.7869,127.669998,
AWR,,Awar Airport (unusable),Awar,PG,-4.122278,144.853292,35
AXF,ZBAL,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,38.74831,105.58858,4560
AXO,,Pantar Kabir Airport,Kabir,ID,-8.244832,124.219108,18
AMF,AYAA,Ama Airport,,PG,-4.10111111111,141.67,145
UAE,AYAE,Mount Aue Airport,Aue,PG,-6.229978,144.664181,4250
AFR,AYAF,Afore Airstrip,Afore,PG,-9.13867,148.390701,2500
AUP,AYAG,Agaun Airport,Agaun,PG,-9.927715,149.389951,3200
ATP,AYAI,Aitape Airport,Aitape,PG,-3.143611,142.346806,10
AIH,AYAK,Aiambak Airport,Aiambak,PG,-7.342777777779999,141.2675,90
AMU,AYAM,Amanab Airport,Amanab,PG,-3.586,141.214333333,1307
ADC,AYAN,Andakombe Airport,Andekombe,PG,-7.13722222222,145.744722222,3600
AIE,AYAO,Aiome Airport,Aiome,PG,-5.145699978,144.7307003,350
KPM,AYAQ,Kompiam Airport,,PG,-5.38166666667,143.924722222,5100
AUJ,AYAT,Ambunti Airport,Ambunti,PG,-4.21566666667,142.823166667,50
,AYAU,Arou Airstrip,Arou,PG,-5.4951,142.5137,4830
AWB,AYAW,Awaba Airport,Awaba,PG,-8.013414,142.752099,32
AEK,AYAX,Aseki Airport,Aseki,PG,-7.350805,146.193994,4106
AYU,AYAY,Aiyura Airport,Aiyura Valley,PG,-6.33805555556,145.904166667,5355
VMU,AYBA,Baimuru Airport,Baimuru,PG,-7.496955,144.821756,27
BCP,AYBC,Bambu Airport,Bambu,PG,-5.863611111110001,146.4925,6790
BNM,AYBD,Bodinumu Airport,Bodinumu,PG,-9.107777777779999,147.666722222,3700
BMZ,AYBF,Bamu Airport,Bamu,PG,-7.8485,143.2433,50
BDZ,AYBG,Baindoung Airport,,PG,-6.34722222222,146.942222222,4400
BSP,AYBH,Bensbach Airport,Bensbach,PG,-8.85805555556,141.259444444,30
BWP,AYBI,Bewani Airport,Bewani,PG,-3.0216666666700003,141.165277778,550
BUA,AYBK,Buka Airport,Buka Island,PG,-5.422299,154.672698,11
BAA,AYBL,Bialla Airport,"Bialla, Matalilu, Ewase",PG,-5.3305602073700005,151.007995605,51
OPU,AYBM,Balimo Airport,Balimo,PG,-8.05000019073,142.932998657,51
BMH,AYBO,Bomai Airport,Bomai,PG,-6.37316666667,144.637,3300
BPD,AYBP,Bapi Airstrip,Bapi,PG,-7.743611111110001,147.020555556,2930
BPK,AYBQ,Biangabip Airport,Biangabip,PG,-5.526389,141.744583,1069
BRP,AYBR,Biaru Airport,Biaru,PG,-7.6693,146.7594,4900
,AYBS,Begesin Airstrip,Begesin,PG,-5.388248,145.447394,980
,AYBT,Batri Airstrip,Batri,PG,-6.551861,143.943905,4510
BUL,AYBU,Bulolo Airport,Bulolo,PG,-7.216286671410001,146.649541855,2240
,AYBY,Wuyabo Airstrip,Wuyabo,PG,-6.838474,145.873207,6400
XBN,AYBZ,Biniguni Airport,Biniguni,PG,-9.6425,149.303889,215
CVB,AYCB,Chungribu Airport,Chungribu,PG,-4.80662,144.714996,108
CGC,AYCG,Cape Gloucester Airport,Cape Gloucester,PG,-5.455231,148.422289,78
CMU,AYCH,Chimbu Airport,Kundiawa,PG,-6.024290084838867,144.9709930419922,4974
SQT,AYCS,China Strait Airstrip,Samarai Island,PG,-10.5627777778,150.690694444,10
DBP,AYDB,Debepare Airport,Debepare,PG,-6.30861111111,141.905555556,360
DER,AYDE,Derim Airport,Derim,PG,-6.14472222222,147.107222222,4850
BNT,AYDI,Bundi Airport,Bundi,PG,-5.742222222220001,145.2275,4400
MDM,AYDK,Munduku Airport,Munduku,PG,-4.6204,143.4516,100
KPF,AYDL,Kondobol Airport,Kondobol,PG,-8.5336,142.5049,132
DNU,AYDN,Dinangat Airport,Dinangat,PG,-6.1546,146.6772,5309
DOI,AYDO,Doini Airport,Castori Islets,PG,-10.7009,150.7218,31
DOO,AYDR,Dorobisoro Airport,Dorobisoro,PG,-9.461855,147.920907,1767
DAU,AYDU,Daru Airport,Daru,PG,-9.08676,143.207993,20
KRU,AYEA,Kerau Airport,Gunim,PG,-8.271612,147.071899,7360
EMS,AYEB,Embessa Airport,Embessa,PG,-9.447,148.7628,131
XYR,AYED,Edwaki Airport,Yellow River Mission,PG,-3.883986,141.792234,190
EMI,AYEE,Emirau Airport,Emirau Island,PG,-1.653949991,149.9757667,172
EFG,AYEF,Efogi Airport,Efogi,PG,-9.15380555556,147.659805556,3900
MHY,AYEH,Morehead Airport,Morehead,PG,-8.71411111111,141.644444444,100
EPT,AYEL,Eliptamin Airport,Eliptamin,PG,-5.0412,141.6779,4825
EGA,AYEN,Engati Airstrip,Engati,PG,-6.9179,146.1053,3715
EMO,AYEO,Emo River Airstrip,Emo Mission,PG,-9.1234,148.0415,2240
ERU,AYER,Erume Airport,Erume,PG,-8.2538,146.9747,6690
MFZ,,Meselia Airport,Demgulu,PG,-6.1364,149.1183,180
BOT,AYET,Bosset Airport,Bosset,PG,-7.237257,141.1063222,80
ERE,AYEV,Erave Airport,Erave,PG,-6.60646315446,143.900213242,3650
SWE,AYEW,Siwea Airport,Siwea,PG,-6.284181,147.582371,5960
FNE,AYFA,Fane Airport,Fane Mission,PG,-8.54927777778,147.085833333,4500
FRQ,,Feramin Airport,Feramin,PG,-5.208,141.6988,4655
,AYFF,Faia Airport,,PG,-7.160353,143.531317,80
FIN,AYFI,Finschhafen Airport,Buki,PG,-6.621750109,147.85405,60
FAQ,AYFR,Frieda River Airport,Frieda River,PG,-4.610468,141.960138,217
FUM,AYFU,Fuma Airport,Fuma,PG,-6.3933,142.4408,466
GKA,AYGA,Goroka Airport,Goronka,PG,-6.081689834590001,145.391998291,5282
GEW,AYGC,Gewoia Airport,Gewoia,PG,-9.2263,148.4949,340
GUG,AYGF,Guari Airport,Guari,PG,-8.1286,146.8722,6450
GRL,AYGG,Garasa Airport,Au,PG,-7.980713,147.213461,2539
GAR,AYGI,Garaina Airport,Garaina,PG,-7.875625,147.141266,2497
GAZ,AYGJ,Guasopa Airport,Woodlark (Muyua) Island,PG,-9.225918,152.944352,10
GOE,AYGL,Gonaili Airport,Gonaili,PG,-5.527716614,151.5733333,40
GUR,AYGN,Gurney Airport,Gurney,PG,-10.3114995956,150.333999634,88
GAP,AYGP,Gusap Airport,Gusap,PG,-6.053196,145.959047,1504
PNP,AYGR,Girua Airport,Popondetta,PG,-8.80453968048,148.309005737,311
GBC,AYGS,Gasuke Airport,Gasuke,PG,-6.1028,141.7393,157
GMI,AYGT,Gasmata Island Airport,Gasmata Island,PG,-6.27111005783,150.330993652,23
AKG,AYGU,Anguganak Airport,Anguganak,PG,-3.560504,142.217307,937
GVI,AYGV,Green River Airport,Green River,PG,-3.9022428989400004,141.170516968,281
GOC,AYGX,Gora Airstrip,Gora,PG,-9.0021,148.2364,2497
HBD,AYHB,Habi Airport,Habi,PG,-6.32,142.4893,993
HNI,AYHE,Heiweni Airport,Heiweni,PG,-7.4223,146.4276,3480
HYF,AYHF,Hayfields Airport,Bainyik,PG,-3.69838,143.057902,466
HNN,AYHH,Honinabi Airport,Honinabi,PG,-6.2457,142.1771,452
HKN,AYHK,Hoskins Airport,Kimbe,PG,-5.463846,150.407327,66
HIT,AYHO,Haivaro Airport,Haivaro,PG,-6.9406,143.059,180
HWA,AYHU,Hawabango Airport,Hawabango,PG,-7.392994,146.003487,4563
IIS,AYIA,Nissan Island Airport,Nissan Island,PG,-4.49972009659,154.225997925,52
IDN,AYID,Indagen Airport,Indagen,PG,-6.22663,147.244,5788
IMN,AYII,Imane Airport,Imane,PG,-6.7524,146.1072,3860
KGM,AYIM,Kungim Airport,Kungim,PG,-5.671,141.03,349
IMD,AYIO,Imonda Airport,Imonda,PG,-3.328,141.1573,990
KIE,AYIQ,Aropa Airport,Kieta,PG,-6.305417,155.728139,20
IAL,,Ialibu Airport,Ialibu,PG,-6.2782,143.9944,6736
WSA,AYIW,Wasua Airport,Wasua,PG,-8.2836,142.8697,45
WIU,AYIX,Witu Airport,Garove Island,PG,-4.689522,149.440112,25
MPX,AYIY,Miyanmin Airport,Miyanmin,PG,-4.903055555560001,141.620833333,2500
KGH,AYJO,Yongai Airport,Yongai,PG,-8.5289,147.4603,6500
JOP,AYJS,Josephstaal Airport,Josephstaal,PG,-4.74708333333,145.007083333,250
LSA,AYKA,Losuia Airport,Losuia,PG,-8.505820274353027,151.08099365234375,27
KBM,AYKB,Kabwum,,PG,-6.15547222222,147.191472222,4450
KDR,AYKC,Kandrian Airport,Kandrian,PG,-6.19217,149.54783,280
KMF,AYKD,Kamina Airport,Hoieti,PG,-7.64925,145.956944444,2157
KPA,AYKG,Kopiago Airport,Kopiago,PG,-5.3883,142.4977,4445
KAQ,AYKH,Kamulai Airport,Kamulai Mission,PG,-8.150694444440001,146.834,5800
UNG,AYKI,Kiunga Airport,Kiunga,PG,-6.1257100105285645,141.28199768066406,88
KNE,AYKJ,Kanainj Airport,Kanainj,PG,-5.2903,144.7072,4064
KRI,AYKK,Kikori Airport,Kikori,PG,-7.42438,144.250076,50
KMA,AYKM,Kerema Airport,Kerema,PG,-7.96361017227,145.770996094,10
KKD,AYKO,Kokoda Airport,Kokoda,PG,-8.884679,147.730957,1240
KGW,AYKQ,Kagi Airport,Kagi,PG,-9.135916666670001,147.669444444,4200
KRX,AYKR,Kar Kar Airport,Kar Kar Island,PG,-4.557,145.9404,130
KZF,AYKT,Kaintiba Airport,Kaintiba,PG,-7.50025,146.033833333,2050
KUQ,AYKU,Kuri Airport,Kuri,PG,-7.135083,143.276111,35
KVG,AYKV,Kavieng Airport,Kavieng,PG,-2.57940006256,150.807998657,7
KWO,AYKW,Kawito Airport,Kawito,PG,-7.977006912229999,142.823577881,72
LNV,AYKY,Londolovit Airport,Londolovit,PG,-3.04361009598,152.628997803,167
LAB,AYLB,Lab Lab Airport,Lab Lab Mission,PG,-5.7204,148.0566,160
KEG,AYLG,Keglsugl Airport,Denglagu Mission,PG,-5.83277777778,145.097222222,8400
KII,AYLI,Kibuli Airstrip,Kibuli,PG,-9.006528,142.698056,54
LGN,AYLL,Linga Linga Airport,Linga Linga,PG,-5.5319444444400006,149.734166667,17
LNM,AYLN,Langimar Airport,,PG,-7.22313888889,146.227083333,5127
LWI,AYLO,Lowai Airport,Lowai,PG,-6.3344,146.6458,2900
LPN,AYLP,Leron Plains Airport,Leron Plains,PG,-6.3917,146.3434,680
LNG,AYLS,Lese Airport,Lese,PG,-8.2799,146.2765,40
LNC,AYLT,Lengbati Airport,,PG,-6.384611111110001,147.368638889,5750
LMI,AYLU,Lumi Airport,Lumi,PG,-3.47683951134,142.041292191,1750
LSJ,AYLX,Long Island Airport,Long Island,PG,-5.3604,147.0177,116
AYM,,Yas Island Seaplane Base,Abu Dhabi,AE,24.467,54.6103,0
MRM,AYMA,Manari Airport,Manari,PG,-9.1908,147.6219,2630
OBM,AYMB,Morobe Airport,Morobe,PG,-7.74,147.59,8
MYX,AYMC,Menyamya Airport,Menyamya,PG,-7.21166666667,146.019361111,3880
MAG,AYMD,Madang Airport,Madang,PG,-5.20707988739,145.789001465,20
HGU,AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,PG,-5.828212,144.299412,5388
MXK,AYMI,Mindik Airport,Mindik,PG,-6.47166666667,147.441138889,4200
MPG,AYMJ,Makini Airport,Makini,PG,-6.532222222220001,147.651166667,2530
GUV,AYML,Mougulu Airport,Mougulu,PG,-6.280859,142.420775,825
MDU,AYMN,Mendi Airport,Mendi,PG,-6.14774,143.656998,5680
MAS,AYMO,Momote Airport,Manus Island,PG,-2.06189,147.423996,12
MLQ,AYMP,Malalaua Airport,Malalaua,PG,-8.07138888889,146.155472222,20
MQO,AYMQ,Malam Airport,Malam,PG,-8.70916666667,142.649722222,126
MXH,AYMR,Moro Airport,Moro,PG,-6.36332988739,143.238006592,2740
MIS,AYMS,Misima Island Airport,Misima Island,PG,-10.689200401299999,152.837997437,26
MKN,AYMV,Malekolon Airport,Babase Island,PG,-4.02343055556,153.657277778,5
MWG,AYMW,Marawaka Airport,Marawaka,PG,-6.9736,145.8849,6050
MPU,AYMZ,Mapua(Mabua) Airport,Tatau Island,PG,-2.81138888889,151.991111111,40
NKN,AYNA,Nankina Airport,Gwarawon,PG,-5.837,146.4533,5800
KEX,AYNB,Kanabea Airport,Kanabea,PG,-7.538888888890001,145.905,4288
NDN,AYNC,Nadunumu Airport,Nadunumu,PG,-9.14355555556,147.68425,5100
